English,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Donno So,"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno So (Yendouma, JH)",Tomo Kan (Segue),Tomo Kan (Diangassagou),Tommo-So (JH),"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Kundialang, JH)","Dogul Dom (Bendiely & Kundialang, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)","Mombo (Songho, KP)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia)
(e.g. goat) stand on hind legs (to browse in trees),wòrú\\wòró,dòló,yóŋkà káŋ,tá:ⁿ,,"wákká, gɔ̀ɣɔ́",,kùwɔ̀-tógù tógó,,àtégú tégé,wǎ:g-ɛ́:-\\wǎ:g-í:,,,,gòmúgí-yé,,,,támbí-yɛ́\\támbí-yá-lì,gòbí-y,,tɛ́gɛ́-tɛ́gɛ́ íŋgyê:,,,
(herder) take animals to pasture,,ɲɛ́:-wⁿú,,"bèrémí, bèrèmbí bèrémí",,"jìrɛ́, jírù jìrɛ́",,,,,gírù já:,,,,gírú jáá,,,,[kílɛ́ ná] ún-mɔ́,gír-ŋgán gìrɛ́,,gírɛ́,,,
(herder) go to pasture with livestock,bérúm bèrǔ-m\\bèrù-mó,àrsɛ̀:-bèré: ló,[bèbèrú wó] ńdé,"bèrèmbí gó ńné, bèrěm gó ńné",,jírù yǎ:,gírì yǎ:,,,,gírù yǎ:,,,,gírú yàá,,,,,gìrɛ́,,"bɛ́lí gírɛ́, bɛ́lí gírá: ándé",,,
(herder) have (livestock) graze,"lí:-m\\lí:-má, bérúm bèrǔ-m\\bèrù-mó",ɲɛ́:-wⁿú,,kúwó-mí,,"ɲɛ́:-wⁿɛ́, jìrɛ́, jírù jìrɛ́",,gìré,,,gìrɛ́-\\gìrú,,,,bèlú mìnɛ́-mɔ́,,,,,kúbó-m,,,,,
(herder) let (livestock) graze on its own,"dúdà kárⁿú\\kárⁿá, nàrⁿú pású\\pásá","lǎr tí, ɔ́:rɛ́",,,,ɔ́:rɔ́ dàɣá,,,,,ó:ró-\\ó:rú,,,,túmáá mìnɛ́-mɔ́,,,,,ɔ́:rɛ́ dɔ̀gɛ́,,dɛ́ndɛ́nɛ̀ ɲámá: bó,,,
(herder) move (livestock) out of their pen to go to pasture,ɔ́:rà kárⁿú,ɔ́:rú,,ɔ́:rí,,ɔ́:rɔ́ ~ ɔ́:rɛ́,,,,pínì-rⁿì\\pínɛ́-rⁿɛ́,gǒ:-nó-\\gǒ:-nú,,,,gìrú gòò-ndó,,,,ɔ́rɔ́\\ɔ́rá-lì,,,píyɛ́,,,
"grass, herbs",sɔ̀lɔ́,bèrú,"bèrú, sàwâ:","bèrí, sàwâ",bèlé,ɔ̀yɔ́,ɔ̀yɔ́,,,gú-gúrú,dɔ̀gɔ́,gwìní,gùní:,,"kèrú, bèlú","kɔ̌:g (kɔ̀:gú), bèlé (fodder)",kɔ́ɔ́gù,yɔ̀wá,ɔ̀à,sɔ̌:mɛ̀-ŋgò\\sɔ̌:mɛ̀,"bélŋge (fodder)́, kɔ́y",béléŋgè,,kɔ́jì,kɔ́jí
fresh (green) grass,sɔ̀lɔ̀ ɔ̀rú,sàwà: ɔ̀rú,"bèrù ɔ̀rú-m, sàwà: ɔ̀rú-m","sàwà ɔ̀rí, bèrì ɔ̀rí",,ɔ̀yɔ̀ ɔ̀rú,ɔ̀yɔ̀ ɔ̀rú,,,gù-gùrù ɔ̀rú,dɔ̀gɔ̀ wɛ́rú,gwìnì ɔ́,,,"kèrù ɔ̀lú, kèrù wɛ́rú",kɔ̀:gù wɛ́rù-ŋ,ḱɔ̀ɔ̀gù ólúgú,,ɔ̀à ɔ̀l,sɔ̀:mɛ̀-ŋgò ɛ̌m-ŋgó\\sɔ̀:mɛ̀ ɛ̀mɛ́:,,kúbɛ̀,,,
pasture,sà-sǎŋ,ɔ̀rⁿɔ́:,bèbèrú,bèrèmbí,,,,,,,běl,,,,gìrù gìrú,,gírù,,,gír-ŋgán,,bɛ́lí gírí,,,
straw,jéyⁿ,sàwà:-sê:,pɛ́sɛ́y,"sàwà-sǒ:, sà:-sǒ:",,ɔ̂m,kìkèrú,,,kèrù sá:ŋá,kɔ̀ngò-kèrú,,sáŋgá,,"bèlù máá, óló, òlò máá",,kɔ́ggùl,,énzèl,bèlé\\bèlé,,béléŋgè,,,
(herder) have (livestock) drink,nɛ̌-m\\nɛ̀-wⁿá,nɔ̀:-wⁿú,nɔ̀mí,nɔ̌:-mí,,nɔ̀:-wⁿɔ́,,,,,nɔ̌:-mɔ́-\\nɔ̌:-mú,,,xxx,nɔ́ɔ́-mɔ́,,,,nìyⁿɛ́-mɛ́\\nìyⁿɛ̀-mà-lí,nǎ:-m,,nyá:mì,,,
animal pen made with thorn branches,"pìŋó, hóggò",sém,"hóggò, gǎ:",séŋé,,hòggò sǎŋ,séŋgú,,,,[jì-jì:]-kòrú,,,,kìlɛ̀ sóŋgó,,,séŋgé\\séŋgú,séŋ,kìlǒ:\\kìlě:,,"gárbálì, hɔ́kkɔ̀",,,
animal pen in a village (with mud-brick or stone walls),"pìŋó, hóggò",hóggò ~ hókkò,"hóggò, gǎ:",hógô,kòró,"hóggò, hòggò gɔ̌ŋ",hókkò,hóggò,,gònó,nà:-gònó,,dà:bà-gòló,,kílɛ́,,hɔ́kkɔ̀,,àzɛ̀gɛ̀-mú gòmù,pó:n\\pó:n,,"gárbálì, hɔ́kkɔ̀",,,
animal pen in a village with stone walls,,,,,,hóggò,,,,,,dà:bà-gòló,,,"kógó, gárbàl",,,,gárbàl,,,,,,
animal pen in the bush made from stones,"pìŋó, hóggò",tǒ:,xxx,,,xxx,xxx,,,,kòrú,,,xxx,xxx,,,,"gárbàl, òlò",kín-mbò pò:n,,,,,
wooden pen for cattle,,nà:-hókkò,,nàŋà séŋé,hɔ́kkɔ̀,hóggò,,,,nàŋà gònó,nà:-ɔ́gú,dà:bà-gòló,dà:bà-hɔ́gɔ́,,kílɛ́,,,,gárbàl,,,,,,
"spot in the bush where livestock return each evening to spend the night, livestock's night quarters",púlògá,hóggò ~ hókkò,,gárî,,hóggò,,,,,gɔ̀rɔ́,,,,kílɛ́,,,,hókkò,gárkè\\gárkè,,góndò,,,
small house where livestock can take shelter from cold or rain,,"bɛ̂r kùlùrì:, àrsɛ̌: kúlùrì:",xxx,,,xxx,xxx,,,,tógù,,,,ɛ̀nɛ̀ dém,,,,,dùndàŋgé\\dùndàŋgɛ́:,,,,,
"night quarters, (animal's or person's) place for spending the night",dìŋ-lá,ɔ̀rⁿɔ̀: nǎ-ỳⁿ,,,,dì:ⁿ-nǎ-yⁿ,,,,,,,,,gárgè,,,,,kèŋgè bíyò-ŋgà,,"dá:n gɔ́lì // gɔ́lì, nà: wé: dá:n gɔ́lì",,,
"overnight place (for domestic animal, e.g. donkey, horse)",pègú,péyí,káŋgéy,pégí,,pègú,,,,,pégú,,,,"kòmmú, júgàl, tɔ́lɔ́",,,,àzɛ̀gɛ̀-mú pégù,júggàl\\júggɛ̀ = júggàl,,"gárbálì, hɔ́kkɔ̀",,,
smear (udder) with excrement to discourage suckling,tárú\\tárá,párá,táwá,párí,,tárá,,,,,nà:-bɔ́jɔ̀ párá,,,,bɔ́dɔ́ párá,,,,pádú\\pádá-lì,bɔ́llɛ̀ pár,,,,,
act of smearing excrement on udder to discourage suckling,,pàr-î:,bóllè,pár-ndɛ́,,,,,,,bɔ́jɔ̀ párá,,,,bɔ̀dɔ̀ párá,,,,,,,,,,
muzzle-stick with thorns tied over an animal's mouth to prevent suckling,,,,,,"célbù, célbì",kà:-pɔ́:lùm,,,,,,,,tɔ́ɔ́ɲɔ́,,tɔ́ɲɔ̀,,tɔ́njɔ̀,,,"bɛ̀lì tɛ́mɛ́, kìnjà kálábù",,,
"stick attached to mouth (of lamb, goat kid, or calf) to prevent suckling",kàrûm,"kàrmbú, tɔ́:ɲɔ̀","lé:mbòl, lé:mòl, kèrèmú",kàrmbí,,"célbù, célbì",,,,,kàlmú,,,,kàlàmbú,,,,,kélbòl\\kélbè,,kàlàbú,,,
muzzle-guard over livestock animals' mouth to prevent grazing in cultivated fields on the way to or from pasture,,,,yɔ́gî,,,,,,kàⁿ-pɔ̌ⁿ,jɔ̀mɔ̀-ýⁿ,,,,"jɔ̀mmɔ̀-ý, kìnù dɔ̌yⁿ, àŋà nìmmú",,,,kàlàmbú,,,bɛ̀lì kálábù,,,
muzzle-guard (covering that prevents a young animal's suckling),kà-pàg-ú,"kàrmbú, tɔ́:ɲɔ̀","lé:mbòl, lé:mòl, kèrèmú",tɔ́:ɲɛ̀,,,,,,,,,,,kèrèmbú,,,,,kàgá-ŋgó\\kàgɛ̌:,,kìnjà kálábù,,,
muzzle for horse,,kàrmbú,,,,,,,,,kàlmú,,,,kàlàmbú,,,,sòm-bɛ̀ndɛ̀,,,kàlàbú,,,
castrate (animal),,,,pɔ́rɔ́,pɔ́rɔ̀\\pɔ́r-ɛ̀,pɔ́rɔ́,,,,,pɔ́rɔ́-\\pɔ́rɔ́,,,,pɔ́rɔ́,pɔ́rɛ̀,,,,,,kámbé,,tɛ́mbɛ̀,pɔ́rɛ́
castrate (animal) by cutting,pɔ́lú\\pɔ́lɔ́,pɔ́rɔ́,mórⁿà kám,pɔ́rɔ́,,pɔ́rɔ́,pɔ́rɔ́,,,pɔ́rɔ́,pɔ́rɔ́-\\pɔ́rɔ́,hwɛ̀rɛ́,fɔ́rɛ́,,pɔ́rɔ́,,,pɔ́rɔ́ (pɔ́rɔ́-tì-),pɔ́dɔ́\\pɔ́dá-lì,mɔ́rɛ́,mɔ́rɔ́,kámbé,,,
"castrated (bull, ram, billygoat)",pɔ́lù,pɔ̀rú-m\\pɔ̀rú,mɔ́:rá:nì,pɔ̀rí,,pɔ̀rú,,pɔ̀rú,,pɔ̀rú,pɔ̀rú,,,,pɔ̀rú,,,,pɔ̀dù,mɔ́rɛ́-bà:,,kámbé,,,
emasculate (male animal) by crushing its testicles,túw\\túwó,túmbó,pɔ́tɔ́,túmbó,dùmbɔ́\\dúmb-ɛ̀,túmó,túmbó,,,,kámá-\\kámú,kɛ̀mbɛ́,kɛ́mbɛ́,,dùmbɔ́,dùmbɛ́,,bɔ̀tɔ́ (bɔ̀tɔ́-tì-),kámbú\\kámbá-lì,dùmbɛ́,tɛ́mbɔ́,tɛ́búlɛ̀,,tɛ́mbɛ̀,tɛ́njɛ́
emasculated (male animal),,,,,dùmb-ú,tǔm,,,,,,,,,,,,,kàmbù,,,,,,
uncastrated (bull),"bòbògú, bógò, jǐw",jàŋgú-m\\jàŋgú,jǐ-m\\jǐ:,jàŋí,kálàndù,jǎŋ,,,,jàŋú,jàŋú,,,,pɔ̀rɔ̀-nní,,,,zànjù\\-mù,jàŋá\\jàŋá-mbó,,bɛ̀lì gúlá,,,
uncastrated (ram),jǐw,jǐ:-m\\jǐ:,jǐ-m\\jǐ:,jàŋí,kálàndù,jǎŋ,,,,jàŋú,jàŋú,,,,pɔ̀rɔ̀-nní,,,,gàɲù\\-mú,jàŋá\\jàŋá-mbó,,kámbélé,,,
uncastrated (billygoat),"bòbògú, bógò",jǐ:-m\\jǐ:,jǐ-m\\jǐ:,jàŋí,kálàndù,jǎŋ,,,,jàŋú,à-kí:,,,,pɔ̀rɔ̀-nní,,,,cènù\\-mù,ě:bè\\ě:bù:,,,,,
uncastrated (male dog),"bòbògú, bógò",,,,,,,,,,,,,,pɔ̀rɔ̀-nní,,,,,,,,,,
young adult female animal (not yet a mother),yà gìrěy,gùrɔ́-m\\gùrɔ́,yà:-yî-m\\-yî:,yà-gùrá,,gùrɔ́,gùrɔ́,,,gùrɔ́,gùlɔ́,,,,bɛ̀lù gùlɔ̌y,,,,gùlɔ̀\\-mù,gúlɛ̀\\gúlɛ̀-mbò,,gúláy,,,
"cut throat of (animal), slaughter",cí\\cɛ́,sɛ́wⁿɛ́,sɛ́mɛ́,sɛ́mɛ́,sɛ́mɛ̀\\sɛ́m-ɛ̀,cɛ́:ⁿ,kɛ́:ⁿ,kɛ́:ⁿ,cɛ́:ⁿ,sɛ́wⁿɛ́,kɛ́:ⁿ-\\kɛ́:ⁿ,"[X kɔ́lɔ́] cɛ̀ʔɛ́, dɛ̀lɛ̀ ('kill')",cɛ́gɛ́,,sɛ́mɛ́,sɛ́mɛ̀,sɛ̀mɛ́,sɛ́mɛ́ (sɛ́mɛ́-tì-),sémɛ́\\sémá-lì,sɛ́mɛ́,sɛ́mɔ́,sɛ́mɛ́,,sɛ́lɛ̀,sɛ́mɛ́
skin and butcher (carcass of slaughtered animal),wòrú\\wòró,"pó, pálí, úrɔ́",pándí,"úrɔ́, pándí",ùrɔ́\\úr-ɛ̀,páná,pálá,pɔ́:,páná,pɔ́:,úrɔ́-\\úrɔ́ xxx[chaining],ʔùrɛ́,ʔùrɛ́,,úrɔ́,úrɛ̀,kɛ̀sɛ́,ùrɔ́ (ùrɔ́-tì-),pánú\\páná-lì,tɔ́nɛ́,tɔ́nɔ́,tɔ́lɛ́,,ʔɔ́rɛ̀,tɔ́lɛ́
separate the skin from the carcass of (animal) by pushing with the fist or the butt of the hand,dǎm\\dàwⁿá,lúkkɛ́,pándí,lúgɔ́,,ló:,pó:,,,,lójó-\\lójó xxx[chaining],,,,núŋɔ́,,ùrɛ́,,nùzɔ́\\nùzá-lì,,,,,,
livestock animal (e.g. a bull) that a herder claims from fellow herders for slaughter (each herder can claim one animal in his lifetime any time after being circumcised),,sómbù,,sómû,,sómbù,sómbù,,,,,,,,,,,,pémbùrù,,,,,,
"contest among shepherds for blue-ribbon for best herd of livestock (goats, sheep, cows, or horses)",,dádɛ̀,,dátɛ̂,,dúbɛ̀,dádɛ̀,,,,dádù,,,,"dádà, pàmbá",,,dádà,dádù,dúbì,,dándì,,,
donkey,zàndúrú,"súrú-bɔ̀ŋgɔ̂-m, sú-bɔ̀ŋgɔ̂-m",dúrù-m\\dúrù,súmáŋà,jàŋgúrù,jàndúrú ~ jàmdúrú,jàmdúrú,zàmdúrú,jàndúrú,jɔ̀ⁿtúrú,jàmdúl,jòndò,jòndù,,"jàndúlú, dúlú",dúlùg (dúlùgù),dúlùgù,zàmdílè\\zàmdíl-mbò,zàmdúrú ~ zàmtúrú,"párŋgá\\párŋgá-mbó, páráŋgá\\páráŋgá-mbó",kɔ́lɔ́ŋɔ̀,kɔ́nyɔ̀,,kólómù,kòlò-kòlò
donkey's back padding (under the back harness),jáppɛ̀,jáppɛ̀,jáppɛ̀,"jàwrí, jábɛ́rɛ̀, jápá:rɛ̀","jàpɛ́:rɛ̀, dàbù-dàbú","jáppɛ̀, jáppɛ́rɛ̀, [sì-sɛ̀rⁿɛ̀wⁿɛ̀]-sɔ̀:rú",jáppɛ̀,zápá,,pídí,jábɛ̀:rɛ̀,pìtí,,,jábɛ̀ɛ̀rɛ̀,jápɛ̀:rɛ̀,jápɛ̀rɛ̀,,jábɛ̀rɛ̀,jápɛ̀rɛ̀-ŋgò\\jápɛ̀rɛ̀,jàpɛ̀rɛ́,tɛ́bá,,jàppɛ̀rɛ́,píttà
"two long poles protruding from the front of a cart, between which the donkey or ox is harnessed","wàlàŋgá:rù, wàlàŋgâ:r","báláŋgâl, báláɳgá:rù",báláŋkâ:r,báláŋgárɛ̀,wògòtórò tànnà,báláŋgá:rù,báláŋkâ:r,wòtòrò nùmó,,wògòtòrò-nùmɔ́,wògòtòrò-bágá,,,,"wògòtòrò tànnàá, bàrànkár",,,,báràŋgàl,bàráŋkâ:r,bàlàŋà:wú,báláŋgálì,,bàndàgà:rí,báráŋkâ:l
"donkey's back harness (saddle) with two wood blocks, one on each side of its back, with one rope tied to the long poles of the cart and another looped under the donkey's tail","gǎ:rì, círcɛ̀",kí-kɛ́rɛ́,gá:rì,"kɛ́kɛ́rɛ́, kɛ́gɛ́rɛ́",dàbù-dàbú ìnɛ̀,cí-cɛ́rɛ́,ké-kɛ́rɛ́,kìkɛ́rɛ́,,,kɛ́gɛ́rɛ́,cí-cɛ́rɛ́,,,kégéré,kélkèlò,,cɛ́gɛ́rɛ́,cɛ́gɛ́rɛ́,bǎ:-gò gà:lè,kùrùwá,báláŋgálì,,kìrkɛ́,ká:ŋgì
rope around donkey's tail (part of overall harness),lémbòl,bìnìkɔ́rɔ̀,bùtàkà:sê:,"kɔ̀rmbí, dùmbò kɔ̀rmbí",,bɔ̀rɔ̀ kɔ̀rú,làrkɔ́rù,bɔ̀rɔ̀ kɔ́rù,,bɔ̀rɔ̀-dóŋ,dùmò-dɔ̌yⁿ,,,,dùmmɔ̀ dɔ̌yⁿ,,,,dùmò-kɔ́rdù,lémbòl\\lémbè,,dùlà síŋgí // gɔ̀jì síŋgí,,,
yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,"gándòl, gálíyé",gándôl,gándíyé,"kɔ̀rɔ̀-gôl, kɔ̀rɔ̀-dúnmárⁿá",jàndùrú tòndòlò,"kɔ̀rɔ́ gôl, gándúwôl, gándówôl, gándɛ́:rɛ̀",kɔ̀rɔ̀-kɔ́lú,kɔ̀rɔ́ gûn,,kɔ̀rɔ́-gól,xxx,kɔ̀lɔ̀-sùŋgù,kɔ̀lɔ̀-sùŋgù,,"gèɲɲù dɔ̌yⁿ, dúgɔ́ndɔ́",gàndú:rɛ̀,,kwà:-kólò,kɔ̀lɔ̀-gòdú,gándùrè,gàndìré,gɔ̀:ⁿ dá:lè,,gàndù:rɛ́,pàrgàwólló
rope attaching the yoke to the wooden poles of a cart,,kɔ̀rɔ̀-pàg-î:,,bàlàŋgàrɛ̀-sèŋí,,gándówôl mà sǔŋ,,,,,xxx,,,,kɔ́llú,,,,kɔ̀lɔ̀-súŋ,,,gɔ̀:ⁿ dà:lè síŋgí,,,
rope connecting the wood blocks of a donkeys back harness to the poles of a cart,kírkɛ̀ sùŋ,bàlàŋgà:r-sùŋgú,xxx,,,xxx,xxx,,,,xxx,,,,kègèrè súm,,,,cɛ̀gɛ̀rɛ̀-sùŋ,gà:lè sí:-ŋgó,,,,,
"rope around the neck of a donkey or camel, used as reins",,,,kɔ̀rɔ̀-sèŋí,,kɔ̀rɔ́-gôl,,,,kɔ̀rɔ́ súŋú,jàmdùl-sǔm,,,,dínnú,,,,kɔ̀lɔ̀-súŋ,gàsígì-ŋgò\\gàsígì,,gɔ̀:ⁿ dá:lè,,,
"harness, hitch up (donkey or ox, to cart)",sɔ́gú\\sɔ́gɔ́,kɔ́lí,kɔ́lí,kɔ́rí,kɔ́mmɔ̀\\kɔ́mm-ɛ̀,dònó,kɔ́lɔ́,,,wògòtóró dònó,kɔ́lɔ́-\\kɔ́lɔ́,gɔ̀ʔɔ̀rì ('hook'),,,"kɔ́mmɔ́, págá",,,,,ságí\\sàgè,,wògòtóró-ẁⁿ kɔ́nyɔ̀ págé,,sɔ́jɛ̀,yélé
(donkey) kick out with hind leg,"tám\\táwⁿá, tám\\támá",támbí\\támbà,támbí,támbí,,támá,,támá,,,támá-\\támú,,,,támbá,,,,támbú\\támbá-lì,súrà dàgí\\dàgè,,támbé,,,
(a) kick with hind leg (of donkey etc.),tàmú,tàmbî:,,tàmbî,,,ké-kɛ́rɛ́,,,,tàmú,,,,tàmbíyé,,,,,súrà,,támbéŋgé,,,
"saddle (for horse, camel, bicycle)","gǎ:rì, kírkɛ̀ ~ círcɛ̀",cí-cɛ́rɛ́,gǎ:rì,"kɛ́kɛ́rɛ́, kɛ́gɛ́rɛ́",kèlèkélè,cí-cɛ́rɛ́,,kíkɛ́rɛ́,,kɛ́gɛ́rɛ́,kɛ́gɛ́rɛ́,cí-cɛ́rɛ́,,,kégéré,xxx,,cɛ́gɛ́rɛ́,cɛ́gɛ́rɛ́,gǎ:l-ŋgò\\gǎ:lè,kèlèŋ-kèlèŋ,kélé-kélé,,kìrkɛ́,ká:ŋgì
horse saddle,sòŋ-círcɛ̀,sò-[cí-cɛ́rɛ́],sǒ-ŋ gá:rì,sòŋ-kɛ́kɛ́rɛ́,sǒŋ kèlèkèlè,sòm-cícɛ́rɛ́,,,,,sòm-kɛ́gɛ́rɛ́,,cì-cɛ̀rɛ́,,sòm kégéré,,,,sòm-cɛ́gɛ́rɛ́,bǎn gà:l-ŋgò\\gà:lè,,kélé-kélé,,,
camel's back padding (under load),ɲɔ́ jáppɛ̀,,,[ɔ̀gɔ̀-ɲɔ̀ŋɔ̀]-kɛ́kɛ́rɛ́,,"jáppɛ̀, jáppɛ́rɛ̀, [sì-sɛ̀rⁿɛ̀wⁿɛ̀]-sɔ̀:rú",,,,,jábɛ̀:rɛ̀,,,,jábɛ̀ɛ̀rɛ̀,,,,jábɛ̀rɛ̀,jápɛ̀rɛ̀-ŋgò\\jápɛ̀rɛ̀,,tɛ́bɛ́,,,
horse's back padding (under saddle),,jáppɛ̀,,"jàwrí, jábɛ́rɛ̀, jápá:rɛ̀",,jáppà,,,,tébél,,,,,jábɛ̀ɛ̀rɛ̀,,,,jábɛ̀rɛ̀,,,,,,
saddlebag (for horse or camel),"gápàkà, gáfàkà, sǒŋ dàŋèy",jɛ́mbɛ́,,nàpɛ́gírɛ́,,xxx,,,,,,,,,sòm jɛ̀mbɛ̀-ý,,,sòmé bɛ̀ndɛ̀,sòm-bɛ̀ndɛ̀,gáfàkà\\gáfɛ̀,,kélé-kélé gémbù // kélé-kélé ságòsì,,gɛ̀mbù,
"belly-strap (for horse, donkey, camel)",pùrò-pàgú,"pèrè-[pa-ỳ], pìrè-[pa-ỳ]",pìrèpáy,pógírí,,bɛ̀rɛ̀-pègú,bɛ̀rɛ̀-págú,,,,,,,,bɛ̀rɛ̀ pògú,,,,bɛ̀dɛ̀-pégú,kúl-sì:-ŋgò\\kúl-sì:,,pàgyé,,,
strap (for slapping horse),káráwásì,dóló:sù,"sɔ̀-sɔ̌l, dó:rôl",dóró:sì,tɛ̀mbú,dórówôl,sùsùnî:,,,tém,bɔ́nɔ̀,,,,"dɔ́rɔ̀l, bɔ̀nnàá",,,bòndíyé,sòm-bɔ̀nɔ̀,dóròwòl\\dóròjì,,báláŋgìlì,,sɔ́:yɛ̀,
"nose rope (camel, ox)",cìrⁿò-ká sùŋ,cìrⁿì-sùŋgú,kìrⁿè sòŋgú,kìrⁿè-mɛ́:ndí,,círⁿé-sûŋ,kìrⁿè-sùŋgú,,,kírⁿí súŋú,,,,,kìnù dínnú,,,,kàlàmbù-sùŋ,,,nà: kìnjà síŋgì,,,
"mouth-cord (of horse, donkey etc.) used as reins","kàmbòŋěy, páròw",mò:-sùŋgú ~ m̀bò:-sùŋgú,kàsî:,ɲɛ́mírⁿì,,"ká:-sûŋ, ká:-súŋù",,ká:-súŋù,,kàⁿ-sùŋú,,,,,"kìnù pɔ̀ndú, (sùm) píyⁿám",,,,ɲɛ̌m,gàsígì-ŋgò\\gàsígì,,péwⁿ,,,
horse's bridle (reins and mouth bit),sígûl,sò-ɲɛ̂m,sò-ŋ kàsî:,"sòŋ-ɲɛ́mírⁿí, ɲɛ̀mìrⁿì-sěŋ",,sǒm mà ɲí-ɲɛ́m,,sò yɛ̌m,,,sòm-ɲɛ̂:m,,,,sòm kàlàmbú,,,,,,,sòɲònì kálábú,,,
bridle (reins and mouth bit),,ɲɛ̂m,,ɲɛ́mírⁿí,,ɲí-ɲɛ́m,,,,,ɲɛ̂:m,,,,"kàlàmbú, píyⁿám",,,,,,,kàlàbú,,,
bit (mouthpiece for horse etc.),kàrúm,kàrmbú,kàràmbú,kàrmbí,kàlàmbá,kàrúm,kàrǔm,kàrúm,,kàyⁿɛ́,kàlmú,kàlàwⁿ,,,kàlàmbú,xxx,,kɛ̀rɛ̀mbú,kàlàmbú,àljébù\\àljébì,kálábú,kàlàbú,,làbàŋgá,kàlàbù
horse's mouth bit,sǒŋ kárùm,sò-kàrmbú,sǒ-ŋ káràmbù,sòŋ-kàrmbí,,sòm-kàrúm,,,,sɔ̀ⁿ-kàyⁿɛ́,sòm-kàlmú,,[sò-wⁿ]-kàláwⁿ,,sòm kàlàmbú,,,,sòm-kàlàmbú,,,,,,
blinders (for horse),sǒŋ dùsò,jìrè dɛ̀w-î:,gìrè-dɛ̀w-î:,"gìrè-déwí, gìrè-déw",gìrì-yɛ́mbù,gìrè-dɛ̌w,gìrè-dɛ̌w,,,,gìrù-débù,jìrì-jáw,,,gìrè yòmbú,xxx,,,"gìdè-sémbéré, gìdè-dǎy",gìrè-yàmbú-ŋgó\\-yàmbé,gìrìyè-ɲòmbú,jáŋgúlá,,,
spur (noun),mì:mǎ:,sɛ̀rwɛ́,sɛ̀wrɛ́,sɛ̀rwɛ̂,sɔ̀gɔ̀mpɔ̀lí,sɛ̀rɛ̀wɛ́,sɛ̀rwɛ́,sɛ̀rwɛ́,,sɛ̀rùwɛ́,xxx,sɛ̀mbɛ̀rɛ̀,mɔ́rɔ́,,sɔ̀lɔ̀mbɔ̀-ý,xxx,,,sɛ̀rbà,ɲɛ̀kî:-ŋgò\\ɲɛ̀kí:jɛ̀,ɲècùdé,gɔ̀dí,,nìcùrgá,xxx
"spur (verb), prod (horse) with spurs",ɲékkà kárⁿú\\kárⁿá,nɛ́ŋgí,sɛ̀wrɛ́ gàm,sɛ̀rwɛ̂ gàrⁿí,,nɔ́ŋɔ́,,,,,,,dwɛ̀njɛ̀,,sɔ̀lɔ̀mbɔ̀-ý kúndó,,,námbí (námbí-tì-m-wà),nɛ̀ŋɛ́\\nɛ̀ŋá-lì,ɲɛ́cɛ́,,nɔ́ŋgɛ́,,ɲècí kánì,
stirrup,àljèw-tàgú,àlcêw,àrcɛ̂w,àrgì-tàmbî,sǒŋ tàgà,àrcɛ́wɛ́,,àrkɛ́wɛ́,,àrùkɛ́wɛ́,xxx,ʔɛ̀r-cèmè,kɛ́rgɛ́,,"ànù tàmbú, ànù kɛ́bɛ́",xxx,,,"nà:-támbú, àlcɛ́bɛ́",,kɛ:̀bɛ̀:jí,tó:ndí,,tá:-gè (pl only),xxx
(horse) rear on hind legs,ká:néy kárⁿú\\kárⁿá,lɔ̀sɔ̀:-tógù tógó,pótó,lɔ̀sɔ̂ bàrá,,kɔ̀:-tógù tógó,à-tógù tógó,,,,,,,,"tómbó, kílɛ́mɔ́",,,,yìgé,nǎ: jɛ̀njɛ́,,,,,
act of rearing (of horse),ká:néy,lɔ̀sɔ̀:-tógù,,,,kɔ̀:-tógù,à-tógù,,,,,,,,tómbó,,,,,,,íŋgyɛ́ŋgé,,,
(horse) rear (verb only),,tógó,pótó,,,tógó,tógó,,,,,,,,tómbó,,,,,,,íŋgyɛ̂:,,,
ornaments for horse,"sǒŋ àrà-lìsà, sǒŋ tà:làm",,,,,xxx,,,,sɔ̀ⁿ-gɛ́rⁿí:,sòm-sáŋúrú,,,,sòm sɛ́y,,,,sòm-séy,,,,,,
leather decoration for chest of horse,,,,dɔ̀mbɛ̀rɛ̀-da᷈:,,,,,,sɔ̀ⁿ gɔ̀ŋɔ̀ dá,,,,,gèɲɲù dɔ̌yⁿ,,,,,,,,,,
leather decoration covering back of horse (under saddle),,,,sòŋ-sùŋgɔ́,,,,,,,,,,,sòm bɔ̀gɔ́,,,,,,,,,,
